Date,Open,Close,High,Low,Volume,Adj Close
2021-11-17,16297.75,16311.5,16396.5,16270.0,455992,16311.5
2021-11-18,16322.5,16481.25,16508.0,16303.5,602241,16481.25
2021-11-19,16503.25,16575.0,16628.5,16490.25,549031,16575.0
2021-11-22,16600.25,16382.0,16767.5,16364.5,770668,16382.0
2021-11-23,16399.0,16312.0,16418.75,16118.5,901449,16312.0
2021-11-24,16300.25,16366.0,16368.5,16102.0,656267,16366.0
2021-11-26,16360.0,16051.0,16436.0,15988.0,680753,16051.0
2021-11-29,16046.5,16390.75,16437.75,16038.0,597936,16390.75
2021-11-30,16419.0,16150.5,16456.25,16068.75,854651,16150.5
2021-12-01,16238.75,15869.75,16427.5,15825.25,861888,15869.75
2021-12-02,15891.75,15988.5,16066.25,15762.75,853707,15988.5
2021-12-03,16020.0,15717.75,16121.75,15538.0,898849,15717.75
2021-12-06,15716.25,15842.75,15897.25,15559.25,695515,15842.75
2021-12-07,15848.75,16318.0,16374.5,15824.5,594627,16318.0
2021-12-08,16360.5,16392.25,16436.75,16251.5,494849,16392.25
2021-12-09,16380.5,16148.75,16420.0,16120.25,612576,16148.75
2021-12-10,16158.5,16329.75,16335.75,16133.75,395288,16329.75
2021-12-13,16321.75,16082.0,16411.25,16064.25,286177,16082.0
2021-12-14,16085.0,15924.75,16133.75,15738.5,274758,15924.75
2021-12-15,15928.5,16288.0,16302.5,15744.5,161710,16288.0
2021-12-16,16288.5,15870.5,16459.25,15800.25,143255,15870.5
2021-12-17,15873.0,15717.3203125,15902.0,15668.0,800579,15717.3203125
2021-12-20,15809.5,15621.25,15851.75,15492.0,676197,15621.25
2021-12-21,15674.25,15980.0,15987.25,15605.0,530228,15980.0
2021-12-22,15979.0,16169.75,16183.0,15881.5,476670,16169.75
2021-12-23,16180.0,16299.0,16356.0,16145.25,349182,16299.0
2021-12-27,16304.25,16560.0,16580.75,16304.25,351308,16560.0
2021-12-28,16565.75,16488.0,16659.5,16452.25,454633,16488.0
2021-12-29,16513.5,16490.5,16564.25,16387.5,354985,16490.5
2021-12-30,16484.5,16430.25,16567.5,16411.25,304259,16430.25
2021-12-31,16431.0,16320.75,16464.0,16313.75,363720,16320.75
2022-01-03,16356.0,16485.5,16508.0,16292.0,513549,16485.5
2022-01-04,16497.75,16275.75,16564.0,16139.5,669527,16275.75
2022-01-05,16265.0,15766.5,16269.0,15752.75,769790,15766.5
2022-01-06,15763.75,15759.0,15895.75,15598.5,802950,15759.0
2022-01-07,15801.75,15581.0,15852.75,15510.0,704406,15581.0
2022-01-10,15590.0,15608.0,15669.0,15152.5,888780,15608.0
2022-01-11,15622.25,15831.0,15839.5,15475.0,709363,15831.0
2022-01-12,15826.0,15887.25,16009.25,15762.5,671265,15887.25
2022-01-13,15901.0,15490.25,15979.75,15458.25,763018,15490.25
2022-01-14,15505.0,15595.75,15621.0,15312.5,795897,15595.75
2022-01-18,15616.75,15206.0,15653.25,15170.75,868066,15206.0
2022-01-19,15238.75,15033.5,15372.0,15011.25,776612,15033.5
2022-01-20,15042.25,14841.0,15340.25,14646.75,771410,14841.0
2022-01-21,14722.0,14426.5,14858.5,14408.5,1041723,14426.5
2022-01-24,14410.0,14501.0,14582.0,13706.0,1323080,14501.0
2022-01-25,14495.0,14140.75,14499.0,13890.0,957800,14140.75
2022-01-26,13945.5,14158.5,14639.75,13945.5,908549,14158.5
2022-01-27,14194.0,13986.75,14409.25,13844.5,866647,13986.75
2022-01-28,14167.75,14433.0,14442.0,13831.0,878243,14433.0
2022-01-31,14454.0,14905.0,14914.75,14353.25,654278,14905.0
2022-02-01,14868.75,14994.75,15137.0,14729.25,597305,14994.75
2022-02-02,15129.0,15114.5,15260.0,14825.0,645396,15114.5
2022-02-03,14852.5,14492.25,14870.0,14456.25,731581,14492.25
2022-02-04,14770.0,14685.5,14825.75,14362.75,763735,14685.5
2022-02-07,14682.5,14559.75,14806.25,14511.5,562312,14559.75
2022-02-08,14600.0,14734.5,14776.0,14467.5,611858,14734.5
2022-02-09,14746.25,15038.25,15068.0,14741.0,529886,15038.25
2022-02-10,15062.25,14701.0,15062.25,14622.0,834478,14701.0
2022-02-11,14698.25,14240.5,14766.75,14181.0,835981,14240.5
2022-02-14,14250.0,14253.0,14394.0,14031.0,734224,14253.0
2022-02-15,14257.0,14609.5,14614.75,14223.25,558472,14609.5
2022-02-16,14588.0,14600.0,14668.5,14381.0,594304,14600.0
2022-02-17,14592.25,14164.75,14619.5,14131.5,631084,14164.75
2022-02-18,14156.25,13996.0,14299.0,13906.25,760914,13996.0
2022-02-22,13952.75,13862.75,14157.5,13580.25,1114720,13862.75
2022-02-23,13928.25,13507.5,14068.75,13471.25,713187,13507.5
2022-02-24,13484.25,13966.5,13983.25,13025.75,1122732,13966.5
2022-02-25,13909.5,14180.5,14196.25,13760.25,784997,14180.5
2022-02-28,13900.25,14228.0,14292.25,13683.0,753711,14228.0
2022-03-01,14219.25,14005.5,14327.75,13900.0,645171,14005.5
2022-03-02,14026.25,14239.25,14290.0,13911.5,629022,14239.25
2022-03-03,14196.5,14030.5,14391.0,13955.0,596925,14030.5
2022-03-04,14069.25,13839.75,14086.5,13733.75,725774,13839.75
2022-03-07,13763.5,13320.75,13879.75,13265.0,717846,13320.75
2022-03-08,13283.0,13267.0,13666.0,13103.25,841407,13267.0
2022-03-09,13192.25,13734.75,13821.75,13189.75,650826,13734.75
2022-03-10,13778.0,13586.0,13778.0,13396.25,611077,13586.0
2022-03-11,13577.25,13292.0,13860.75,13281.75,439890,13292.0
2022-03-14,13362.0,13045.5,13447.5,13015.5,402608,13045.5
2022-03-15,13082.0,13451.75,13489.0,12944.0,284955,13451.75
2022-03-16,13451.75,13953.0,14029.25,13420.5,274498,13953.0
2022-03-17,13999.0,14111.75,14136.25,13822.75,125160,14111.75
2022-03-18,14060.0,14095.3095703125,14095.3095703125,13970.5,558776,14095.3095703125
2022-03-21,14404.0,14370.5,14466.75,14183.75,589629,14370.5
2022-03-22,14390.0,14654.0,14690.75,14293.5,509918,14654.0
2022-03-23,14654.0,14447.0,14682.25,14441.0,555130,14447.0
2022-03-24,14462.75,14763.75,14769.75,14433.5,512267,14763.75
2022-03-25,14765.0,14755.75,14840.5,14572.5,553931,14755.75
2022-03-28,14756.0,14985.25,14997.0,14658.75,532125,14985.25
2022-03-29,14981.0,15237.75,15268.75,14956.5,552951,15237.75
2022-03-30,15222.0,15071.5,15262.25,15012.25,513516,15071.5
2022-03-31,15100.5,14868.75,15180.75,14855.5,560785,14868.75
2022-04-01,14918.75,14863.75,14960.0,14725.0,539029,14863.75
2022-04-04,14846.0,15164.25,15174.5,14801.0,460171,15164.25
2022-04-05,15155.5,14828.0,15198.0,14780.25,563198,14828.0
2022-04-06,14861.0,14505.25,14861.25,14394.75,783213,14505.25
2022-04-07,14496.25,14536.0,14633.75,14317.0,645737,14536.0
2022-04-08,14536.25,14327.0,14642.25,14310.5,640156,14327.0
2022-04-11,14345.0,14000.0,14382.0,13984.75,577477,14000.0
2022-04-12,14006.25,13945.0,14284.25,13881.25,704351,13945.0
2022-04-13,13952.75,14221.5,14266.5,13921.0,530164,14221.5
2022-04-14,14211.5,13893.75,14296.25,13876.5,548400,13893.75
2022-04-18,13892.0,13907.75,14002.5,13729.5,492103,13907.75
2022-04-19,13962.75,14217.25,14242.0,13828.0,556357,14217.25
2022-04-20,14104.75,14004.75,14298.0,13956.5,604344,14004.75
2022-04-21,14070.0,13728.25,14283.0,13667.5,685788,13728.25
2022-04-22,13720.0,13353.5,13781.0,13297.0,732255,13353.5
2022-04-25,13334.25,13535.75,13549.75,13184.0,749649,13535.75
2022-04-26,13523.5,13016.0,13583.75,12801.5,755330,13016.0
2022-04-27,12881.0,13009.0,13255.25,12878.25,817196,13009.0
2022-04-28,13191.0,13454.75,13542.0,13033.0,756360,13454.75
2022-04-29,13219.5,12852.0,13433.0,12831.75,723386,12852.0
2022-05-02,12892.25,13073.0,13084.5,12709.75,763818,13073.0
2022-05-03,13051.75,13087.5,13183.75,12968.5,662216,13087.5
2022-05-04,13121.0,13531.25,13555.25,12883.0,703191,13531.25
2022-05-05,13500.25,12858.0,13548.0,12705.25,877795,12858.0
2022-05-06,12883.25,12695.75,12928.75,12519.0,852234,12695.75
2022-05-09,12605.0,12193.75,12637.25,12135.25,816033,12193.75
2022-05-10,12206.0,12349.0,12547.0,12102.25,853859,12349.0
2022-05-11,12328.75,11969.75,12553.25,11938.5,865890,11969.75
2022-05-12,12004.5,11947.25,12132.75,11689.0,878238,11947.25
2022-05-13,11891.5,12382.75,12432.0,11891.5,663517,12382.75
2022-05-16,12409.0,12244.75,12498.75,12190.25,623715,12244.75
2022-05-17,12235.5,12560.25,12578.0,12234.0,653222,12560.25
2022-05-18,12572.0,11935.5,12594.0,11862.75,735386,11935.5
2022-05-19,11907.0,11878.25,12076.75,11704.0,827741,11878.25
2022-05-20,11898.0,11840.75,12096.75,11491.25,806781,11840.75
2022-05-23,11866.0,12035.25,12075.5,11783.75,660213,12035.25
2022-05-24,11915.0,11771.0,11918.0,11576.25,717429,11771.0
2022-05-25,11808.0,11942.25,12036.0,11672.0,671096,11942.25
2022-05-26,11887.5,12279.25,12343.0,11848.25,611884,12279.25
2022-05-27,12250.0,12677.75,12720.25,12222.0,615992,12677.75
2022-05-31,12705.25,12646.5,12883.0,12480.0,832388,12646.5
2022-06-01,12662.5,12551.0,12823.5,12454.75,682211,12551.0
2022-06-02,12549.75,12893.75,12903.75,12442.5,620008,12893.75
2022-06-03,12896.0,12551.0,12945.25,12503.0,652955,12551.0
2022-06-06,12549.75,12605.0,12810.0,12527.0,536936,12605.0
2022-06-07,12605.25,12711.5,12740.25,12412.5,577970,12711.5
2022-06-08,12680.5,12615.75,12783.0,12579.25,583652,12615.75
2022-06-09,12625.0,12275.0,12726.0,12255.25,690155,12275.0
2022-06-10,12301.5,11840.0,12338.75,11823.0,617395,11840.0
2022-06-13,11768.0,11296.5,11772.5,11254.5,530220,11296.5
2022-06-14,11334.25,11314.25,11505.5,11205.0,378134,11314.25
2022-06-15,11329.75,11593.75,11759.25,11327.75,265812,11593.75
2022-06-16,11608.5,11124.75,11737.75,11036.75,146538,11124.75
2022-06-17,11178.5,11130.3896484375,11290.0,11130.25,731831,11130.3896484375
2022-06-21,11332.5,11577.25,11678.25,11273.75,657209,11577.25
2022-06-22,11579.75,11565.75,11745.75,11320.5,638960,11565.75
2022-06-23,11542.75,11737.5,11766.75,11460.5,630125,11737.5
2022-06-24,11687.75,12140.5,12148.5,11684.75,563303,12140.5
2022-06-27,12137.5,12040.5,12262.0,11994.25,565803,12040.5
2022-06-28,12076.25,11674.25,12174.25,11661.5,634694,11674.25
2022-06-29,11680.5,11691.0,11749.0,11564.5,590173,11691.0
2022-06-30,11691.5,11529.5,11696.75,11351.0,738071,11529.5
2022-07-01,11507.5,11611.25,11629.75,11381.75,605401,11611.25
2022-07-05,11606.0,11808.5,11815.75,11389.25,790937,11808.5
2022-07-06,11820.25,11880.25,11974.25,11727.75,649912,11880.25
2022-07-07,11901.25,12138.5,12168.5,11836.5,550463,12138.5
2022-07-08,12115.0,12152.0,12211.0,11952.5,640445,12152.0
2022-07-11,12149.75,11884.25,12149.75,11853.0,578336,11884.25
2022-07-12,11900.5,11779.0,12025.5,11712.0,607949,11779.0
2022-07-13,11780.0,11762.25,11970.0,11479.25,732270,11762.25
2022-07-14,11729.5,11797.5,11835.0,11511.25,654560,11797.5
2022-07-15,11810.5,12007.5,12021.5,11740.25,560980,12007.5
2022-07-18,12043.5,11907.0,12186.5,11857.0,553676,11907.0
2022-07-19,11909.5,12274.0,12328.5,11889.5,585591,12274.0
2022-07-20,12330.5,12465.25,12517.5,12235.75,643607,12465.25
2022-07-21,12440.0,12640.0,12655.25,12373.5,605066,12640.0
2022-07-22,12559.25,12423.5,12698.5,12343.75,634548,12423.5
2022-07-25,12444.5,12354.5,12498.5,12266.5,491612,12354.5
2022-07-26,12311.25,12112.5,12334.0,12072.0,536287,12112.5
2022-07-27,12192.0,12619.0,12690.0,12191.75,634889,12619.0
2022-07-28,12580.0,12737.5,12948.0,12449.0,645261,12737.5
2022-07-29,12920.25,12971.5,13012.0,12744.25,592416,12971.5
2022-08-01,12981.0,12962.5,13108.75,12851.75,622511,12962.5
2022-08-02,12974.25,12924.5,13097.0,12814.75,674564,12924.5
2022-08-03,12921.0,13271.5,13310.25,12867.25,690056,13271.5
2022-08-04,13247.0,13327.0,13356.0,13184.75,542680,13327.0
2022-08-05,13327.25,13228.75,13384.5,13085.0,687792,13228.75
2022-08-08,13227.75,13183.25,13419.25,13120.5,597182,13183.25
2022-08-09,13206.25,13031.5,13233.75,12963.25,553704,13031.5
2022-08-10,13050.0,13392.0,13408.0,12982.0,602069,13392.0
2022-08-11,13380.5,13311.25,13575.0,13285.0,614816,13311.25
2022-08-12,13344.25,13577.75,13583.25,13312.0,500647,13577.75
2022-08-15,13571.5,13681.25,13706.0,13495.25,463768,13681.25
2022-08-16,13674.75,13658.25,13740.75,13522.75,555979,13658.25
